,roman_cp,probability
0,"I,V,vi,IV,I","0.145,0.252,0.342,0.646,0.836"
1,"I,V,vi,IV,V","0.145,0.252,0.342,0.646,0.105"
2,"I,V,vi,V,IV","0.145,0.252,0.342,0.103,0.464"
3,"I,V,vi,V,I","0.145,0.252,0.342,0.103,0.264"
4,"I,V,vi,V,vi","0.145,0.252,0.342,0.103,0.216"
5,"I,V,vi,I,V","0.145,0.252,0.342,0.063,0.707"
6,"I,V,vi,I,IV","0.145,0.252,0.342,0.063,0.115"
7,"I,V,IV,I,V","0.145,0.252,0.245,0.49,0.799"
8,"I,V,IV,I,IV","0.145,0.252,0.245,0.49,0.082"
9,"I,V,IV,V,I","0.145,0.252,0.245,0.194,0.672"
10,"I,V,IV,V,vi","0.145,0.252,0.245,0.194,0.156"
11,"I,V,IV,V,IV","0.145,0.252,0.245,0.194,0.117"
12,"I,V,IV,vi,I","0.145,0.252,0.245,0.158,0.646"
13,"I,V,IV,vi,V","0.145,0.252,0.245,0.158,0.218"
14,"I,V,I,V,I","0.145,0.252,0.139,0.396,0.543"
15,"I,V,I,V,IV","0.145,0.252,0.139,0.396,0.213"
16,"I,V,I,V,vi","0.145,0.252,0.139,0.396,0.15"
17,"I,V,I,IV,I","0.145,0.252,0.139,0.349,0.681"
18,"I,V,I,IV,V","0.145,0.252,0.139,0.349,0.16"
19,"I,V,ii,IV,I","0.145,0.252,0.104,0.455,0.847"
20,"I,V,ii,IV,vi","0.145,0.252,0.104,0.455,0.069"
21,"I,V,ii,IV,V","0.145,0.252,0.104,0.455,0.054"
22,"I,V,ii,vi,I","0.145,0.252,0.104,0.255,0.651"
23,"I,V,ii,vi,IV","0.145,0.252,0.104,0.255,0.138"
24,"I,V,ii,vi,V","0.145,0.252,0.104,0.255,0.062"
25,"I,V,ii,I,V","0.145,0.252,0.104,0.187,0.775"
26,"I,V,ii,I,vi","0.145,0.252,0.104,0.187,0.072"
27,"I,V,ii,I,ii","0.145,0.252,0.104,0.187,0.058"
28,"I,V,ii,I,IV","0.145,0.252,0.104,0.187,0.051"
29,"I,IV,I,IV,I","0.145,0.182,0.315,0.467,0.717"
30,"I,IV,I,IV,V","0.145,0.182,0.315,0.467,0.091"
31,"I,IV,I,IV,vi","0.145,0.182,0.315,0.467,0.059"
32,"I,IV,I,V,I","0.145,0.182,0.315,0.302,0.596"
33,"I,IV,I,V,IV","0.145,0.182,0.315,0.302,0.181"
