,artist,song,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,genres
0,aerosmith,cryin',0.445,0.856,9,0.0327,0.000202,0.0101,0.367,0.486,3,"['album rock', 'classic rock', 'hard rock', 'rock']"
1,green day,basketcase,0.33,0.812,3,0.0482,0.124,0.00134,0.397,0.6,3,"['modern rock', 'permanent wave', 'punk']"
2,jack johnson,flake,0.758,0.654,5,0.04,0.662,0.0197,0.199,0.962,4,['neo mellow']
3,katy perry,firework,0.638,0.826,8,0.0479,0.139,0.0,0.0803,0.649,4,"['dance pop', 'pop', 'post-teen pop']"
4,the beatles,i want to hold your hand,0.49,0.715,7,0.0476,0.386,0.0,0.311,0.866,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
5,the beatles,let it be,0.443,0.403,0,0.0322,0.631,0.0,0.111,0.41,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
6,vitamin c,friends forever,0.583,0.637,0,0.0459,0.00722,0.0419,0.177,0.315,4,"['dance pop', 'europop']"
7,enrique iglesias,donde estan corazon,0.738,0.677,9,0.0252,0.0976,0.0,0.0871,0.773,4,"['dance pop', 'latin', 'latin pop', 'mexican pop', 'pop', 'tropical']"
8,the cars,just what i needed,0.619,0.579,4,0.0473,0.0152,6.4e-05,0.0858,0.69,4,"['album rock', 'art rock', 'classic rock', 'dance rock', 'hard rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'power pop', 'rock', 'soft rock']"
9,air,venus,0.478,0.421,5,0.0266,0.859,0.91,0.149,0.0599,4,"['downtempo', 'electronica', 'trip hop']"
10,of monsters and men,king and lionheart,0.52,0.655,3,0.0393,0.104,0.00347,0.124,0.289,4,"['folk-pop', 'indie pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']"
11,bonnie tyler,total eclipse of the heart,0.435,0.657999999999999,8,0.0661,0.195,0.0,0.102,0.184,4,"['europop', 'new wave pop', 'soft rock']"
12,lenka,trouble is a friend,0.657,0.83,8,0.0248,0.0318,3.91e-05,0.122,0.653,4,['lilith']
13,iron and wine,upward over the mountain,0.612,0.276,7,0.0358,0.898,0.864,0.0867,0.206,4,"['chamber pop', 'indie folk', 'indie pop', 'neo mellow', 'stomp and holler']"
14,lindsey stirling,shadows,0.623,0.826,0,0.0941,0.00536,0.0434,0.097,0.32,4,['bow pop']
15,pyotr ilyich tchaikovsky,russian dance 'trepak',0.388,0.5,7,0.0443,0.917,0.682999999999999,0.091,0.85,4,"['classical', 'late romantic era', 'russian romanticism']"
16,katy perry,firework,0.638,0.826,8,0.0479,0.139,0.0,0.0803,0.649,4,"['dance pop', 'pop', 'post-teen pop']"
17,the gaslight anthem,45,0.315,0.97,8,0.102,0.000696,0.0,0.277,0.423,4,"['heartland rock', 'new jersey indie', 'new jersey punk', 'skate punk']"
18,flo rida,who dat girl,0.719,0.616,1,0.0395,0.00683,3.11e-05,0.0742,0.625,4,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
19,flo rida,who dat girl,0.719,0.616,1,0.0395,0.00683,3.11e-05,0.0742,0.625,4,"['dance pop', 'edm', 'miami hip hop', 'pop', 'pop rap']"
20,one direction,heart attack ,0.43,0.831,9,0.0692,0.0136,0.0,0.109,0.616,4,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']"
21,sega,azure blue world,0.436,0.875,0,0.0318,1.52e-06,0.209,0.069,0.654,4,"['japanese vgm', 'sound team']"
22,darude,sandstorm,0.539,0.98,11,0.0469,0.168999999999999,0.982,0.084,0.522,4,"['eurodance', 'europop', 'finnish edm']"
23,wolfgang amadeus mozart,der holle rache kocht in meinem herzen,0.548999999999999,0.108,5,0.135,0.971,0.0195,0.114,0.265,4,"['classical', 'classical era']"
24,jason becker,altitudes,0.198,0.687,11,0.0467,0.0349,0.893,0.154,0.299,4,"['instrumental rock', 'neo classical metal', 'shred']"
25,natalia nykiel,badz duzy,0.833,0.634,0,0.123,0.201,8.79e-06,0.0937,0.469,4,['polish pop']
26,the gaslight anthem,the '59 sound,0.423,0.943,10,0.0917,0.0012,5.08e-06,0.263,0.406,4,"['heartland rock', 'new jersey indie', 'new jersey punk', 'skate punk']"
27,fastball,out of my head,0.531,0.657999999999999,4,0.0382,0.412,0.00272,0.16,0.461,4,"['pop rock', 'post-grunge']"
28,hyper potions subtact,adventure,0.587,0.527,11,0.0365,0.0048,0.862,0.0915,0.539,4,"['catstep', 'kawaii future bass', 'otacore']"
29,elle king,ex's and oh's,0.612,0.921,7,0.0848,0.0183,0.0,0.0576,0.453,4,[]
30,the all-american rejects,night drive,0.595,0.951,2,0.0571,0.00386,1.65e-06,0.04,0.787,4,"['modern rock', 'neo mellow', 'pop punk', 'pop rock', 'post-grunge']"
31,thrice,doublespeak,0.62,0.755,5,0.03,0.00564,0.282,0.124,0.501,4,"['alternative metal', 'modern rock', 'post-hardcore', 'screamo']"
32,saves the day,deranged and desperate,0.536,0.914,11,0.0489,0.0124,7.55e-06,0.301,0.485,4,"['alternative emo', 'dreamo', 'emo', 'melodic hardcore', 'pop punk', 'post-hardcore', 'screamo']"
33,shiny toy guns,you are the one,0.408,0.874,9,0.0408,8.35e-05,0.0,0.417,0.182,4,"['alternative dance', 'dance-punk', 'electronic rock', 'electropop', 'indietronica']"
34,alice in chains,nutshell,0.384,0.562,3,0.0296,0.37,0.267,0.0775,0.159,3,"['alternative metal', 'alternative rock', 'grunge', 'hard rock', 'nu metal', 'post-grunge', 'rock']"
35,david bowie,ziggy stardust,0.44,0.565,7,0.121,0.048,0.0,0.213,0.495,4,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
36,elton john,tiny dancer,0.414,0.428,0,0.0278,0.382,0.000243,0.148,0.282,4,"['glam rock', 'mellow gold', 'piano rock', 'soft rock']"
37,madonna,like a prayer,0.624,0.842,5,0.0376,0.264,2.11e-05,0.181,0.257,4,"['dance pop', 'pop']"
38,red hot chili peppers,californication,0.592,0.767,9,0.027,0.0021,0.00165,0.127,0.328,4,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave', 'post-grunge', 'rock']"
39,the beatles,let it be,0.443,0.403,0,0.0322,0.631,0.0,0.111,0.41,4,"['british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']"
40,the shins,caring is creepy,0.413,0.707,2,0.0375,0.0232,2.84e-06,0.293,0.494,4,"['albuquerque indie', 'alternative rock', 'chamber pop', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'portland indie', 'rock', 'stomp and holler']"
41,ehrencrona,this is so good,0.536,0.943,2,0.0397,0.000127,0.374,0.022,0.153,4,"['big room', 'progressive electro house']"
42,david bowie,lady stardust,0.593,0.368,9,0.0337,0.612,0.0,0.0905,0.484,4,"['album rock', 'art rock', 'classic rock', 'dance rock', 'glam rock', 'permanent wave', 'protopunk', 'rock']"
